縣市,有效票數,無效票數,投票數,已領未投票數,選舉人數,1號得票數,2號得票數,3號得票數
基隆市,226204,2458,228662,6,311801,11878,99360,114966
臺北市,1632453,21381,1653834,143,2167264,70769,685830,875854
新北市,2466187,28041,2494228,71,3321459,112620,959631,1393936
桃園市,1311141,14066,1325207,55,1780755,63132,529749,718260
新竹市,261102,3423,264525,8,345345,14103,102725,144274
新竹縣,325039,3970,329009,2,438049,18435,154224,152380
苗栗縣,326601,3578,330179,7,447422,15222,164345,147034
臺中市,1698470,20550,1719020,33,2251064,84800,646366,967304
彰化縣,763231,10277,773508,13,1035507,35060,291835,436336
南投縣,299152,3555,302707,13,413485,13315,133791,152046
雲林縣,399788,5203,404991,6,565269,15331,138341,246116
嘉義市,161738,1664,163402,4,215055,6204,56269,99265
嘉義縣,307290,3748,311038,10,428640,11138,98810,197342
臺南市,1167248,12341,1179589,22,1556845,41075,339702,786471
高雄市,1763826,17006,1780832,12,2299558,55309,610896,1097621
屏東縣,511050,4992,516042,17,688793,14021,179353,317676
宜蘭縣,274406,3029,277435,4,375608,10739,90010,173657
花蓮縣,185212,2081,187293,7,269558,6869,111834,66509
臺東縣,115668,1119,116787,1,179536,4163,67413,44092
金門縣,48040,423,48463,0,120721,1636,35948,10456
澎湖縣,50904,644,51548,0,88432,2583,20911,27410
連江縣,6190,82,6272,0,10939,188,4776,1226
